,optimality_gap,test_normal/inequality/error_mean,test_normal/inequality/error_max,test_normal/equality/error_mean,test_normal/equality/error_max,test/cost,acopf/cost,test_normal/inequality/rate,test_normal/equality/rate
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,-0.04049689417439306,0.036402074079960586,0.09675966338068247,0.0,0.0,0.9581855507493019,0.9998423888510416,0.09025106059759855,0.0
std,0.019739354753324403,0.017637654269835618,0.02692285163705446,0.0,0.0,0.04595486741383474,0.06533604971794807,0.009419447063457218,0.0
min,-0.07991009020302864,0.008776015602052212,0.0745118036866188,0.0,0.0,0.8352581262588501,0.8091172007023377,0.04333333298563957,0.0
25%,-0.055829304208963454,0.022071102168411016,0.08033070899546146,0.0,0.0,0.9217096120119095,0.9497443699652164,0.08154471963644028,0.0
50%,-0.04238049566140917,0.03476116433739662,0.08351906016469002,0.0,0.0,0.9597533047199249,1.003966163226529,0.09577236324548721,0.0
75%,-0.028206248078191887,0.04887870326638222,0.10298004746437073,0.0,0.0,0.9962877780199051,1.0562099860082883,0.0982113853096962,0.0
max,0.03230795925957475,0.08646222203969955,0.20872801542282104,0.0,0.0,1.043834924697876,1.1118927148885527,0.0982113853096962,0.0
