,optimality_gap,test_normal/inequality/error_mean,test_normal/inequality/error_max,test_normal/equality/error_mean,test_normal/equality/error_max,test/cost,acopf/cost,test_normal/inequality/rate,test_normal/equality/rate
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,-0.02758364570155692,0.031581935268826786,0.07949983306974173,0.0,0.0,0.9714164813756943,0.9998423888510416,0.06968821446597576,0.0
std,0.01583968462761176,0.014439074328878254,0.01445474549159556,0.0,0.0,0.0515971115918672,0.06533604971794807,0.015815284491047885,0.0
min,-0.062043879086292275,0.009344136342406273,0.06597641110420227,0.0,0.0,0.8254719972610474,0.8091172007023377,0.023333335295319557,0.0
25%,-0.038964241027696106,0.02016123477369547,0.0719296783208847,0.0,0.0,0.9304554462432861,0.9497443699652164,0.061544716358184814,0.0
50%,-0.029675415195812183,0.030012321658432484,0.07458581030368805,0.0,0.0,0.973821222782135,1.003966163226529,0.07821138203144073,0.0
75%,-0.01747911106914854,0.04190503153949976,0.0790328923612833,0.0,0.0,1.0150278210639954,1.0562099860082883,0.07821138948202133,0.0
max,0.025006815671448246,0.07805764675140381,0.16080671548843384,0.0,0.0,1.0596064329147339,1.1118927148885527,0.09487804770469666,0.0
