,optimality_gap,test_normal/inequality/error_mean,test_normal/inequality/error_max,test_normal/equality/error_mean,test_normal/equality/error_max,test/cost,acopf/cost,test_normal/inequality/rate,test_normal/equality/rate
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.01289540024919667,0.029620735863223672,0.11503142844070681,0.0,0.0,1.0101330560445785,0.9998423888510416,0.06256431166082621,0.0
std,0.039983446741162144,0.023066149753562346,0.11189917729450753,0.0,0.0,0.027126016638855076,0.06533604971794807,0.007395537165119167,0.0
min,-0.048127401223598376,0.0005627485807053745,0.0038148057647049427,0.0,0.0,0.9302334189414978,0.8091172007023377,0.05000000074505806,0.0
25%,-0.021758338312014514,0.012491940753534436,0.04436606913805008,0.0,0.0,0.9889674633741379,0.9497443699652164,0.055772360414266586,0.0
50%,0.008876005296022171,0.02433109562844038,0.07173365354537964,0.0,0.0,1.0118635892868042,1.003966163226529,0.06666667014360428,0.0
75%,0.0417029153298874,0.04068300500512123,0.15128118917346,0.0,0.0,1.0336585938930511,1.0562099860082883,0.07000000774860382,0.0
max,0.14968933812558616,0.13595549762248993,0.655204713344574,0.0,0.0,1.0583866834640503,1.1118927148885527,0.07821138948202133,0.0
