,optimality_gap,test_normal/inequality/error_mean,test_normal/inequality/error_max,test_normal/equality/error_mean,test_normal/equality/error_max,test/cost,acopf/cost,test_normal/inequality/rate,test_normal/equality/rate
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.05088137391282996,0.014296755344839767,0.05421813903748989,0.0,0.0,1.0479425160884857,0.9998423888510416,0.07706032668054104,0.0
std,0.04260523605992864,0.013896925295911071,0.05322297486961592,0.0,0.0,0.027053674138802355,0.06533604971794807,0.009363381295895562,0.0
min,-0.014486389903918373,0.003674867795780301,0.03091025911271572,0.0,0.0,0.9682283997535706,0.8091172007023377,0.06666667014360428,0.0
25%,0.013866399816440445,0.003677407163195312,0.03093605861067772,0.0,0.0,1.026816874742508,0.9497443699652164,0.06666667014360428,0.0
50%,0.04690108726531972,0.008254376705735922,0.030951150692999363,0.0,0.0,1.0495548248291016,1.003966163226529,0.0833333358168602,0.0
75%,0.0816688015050987,0.0215128674171865,0.05407013650983572,0.0,0.0,1.0712396800518036,1.0562099860082883,0.08577235788106918,0.0
max,0.19664790083948236,0.09815260022878647,0.4723711907863617,0.0,0.0,1.0962779521942139,1.1118927148885527,0.09154471755027771,0.0
