,optimality_gap,test_normal/inequality/error_mean,test_normal/inequality/error_max,test_normal/equality/error_mean,test_normal/equality/error_max,test/cost,acopf/cost,test_normal/inequality/rate,test_normal/equality/rate
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.016785808010554595,0.012056608507409692,0.07257876349240541,0.0,0.0,1.0153365000486374,0.9998423888510416,0.07247846122272313,0.0
std,0.022237270194191756,0.0037284380887516793,0.008263792019438164,0.0,0.0,0.04818361638657105,0.06533604971794807,0.012829332552711403,0.0
min,-0.02952523125836215,0.008600564673542976,0.05443793907761574,0.0,0.0,0.8911147117614746,0.8091172007023377,0.0266666691750288,0.0
25%,-0.0005145014085237154,0.010261452058330178,0.0669226348400116,0.0,0.0,0.9766103029251099,0.9497443699652164,0.06000000238418579,0.0
50%,0.014388701189732123,0.01095521030947566,0.07251404970884323,0.0,0.0,1.0167809128761292,1.003966163226529,0.07666667550802231,0.0
75%,0.031460152564934396,0.012000932591035962,0.0778814498335123,0.0,0.0,1.056504338979721,1.0562099860082883,0.07910569757223129,0.0
max,0.10134194525584261,0.04209541901946068,0.1491689682006836,0.0,0.0,1.1032830476760864,1.1118927148885527,0.11243903636932373,0.0
