,optimality_gap,test_normal/inequality/error_mean,test_normal/inequality/error_max,test_normal/equality/error_mean,test_normal/equality/error_max,test/cost,acopf/cost,test_normal/inequality/rate,test_normal/equality/rate
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,-0.028228555253967804,0.2500328371524811,1.3565702576637269,0.0,0.0,0.9734091929793358,0.9998423888510416,0.17534593534469606,0.0
std,0.0410491957323211,0.023130890445027794,0.05384157881214078,0.0,0.0,0.09496731778547406,0.06533604971794807,0.009610797226037408,0.0
min,-0.16624650130082574,0.20264437794685364,1.1715854406356812,0.0,0.0,0.6825954914093018,0.8091172007023377,0.15243902802467346,0.0
25%,-0.05623441319084427,0.23123014345765114,1.3211400210857391,0.0,0.0,0.8999123424291611,0.9497443699652164,0.17154471576213837,0.0
50%,-0.022470939440828286,0.2487533837556839,1.3579623103141785,0.0,0.0,0.980149656534195,1.003966163226529,0.17154471576213837,0.0
75%,0.0040821998912086155,0.26585500687360764,1.3948872685432434,0.0,0.0,1.0516278147697449,1.0562099860082883,0.1882113814353943,0.0
max,0.06273931245491426,0.32540813088417053,1.5357264280319214,0.0,0.0,1.1240887641906738,1.1118927148885527,0.2048780471086502,0.0
